,Name,Prefix,Date Joined,"Date of 
Last Deposit","Date of 
Last Query"
0,Povolzhskiy State University of Telecommunications and Informatics,10.18469,,"Dec 16, 2015",unknown
1,"""Henri Coanda"" Air Force Academy",10.19062,,"Jan 05, 2016",unknown
2,123Doc Education,10.7579,"May 16, 2012",unknown,unknown
3,21st Century COE Program (Toplogical Science and Technology),10.3731,"Nov 20, 2007",unknown,unknown
4,21st Century Political Science Association,10.17937,,"Sep 14, 2015",unknown
5,"8872147 Canada, Inc.",10.1503,"Aug 01, 2003","Mar 11, 2016",unknown
6,A Fundacao para o Desenvolvimento de Bauru (FunDeB),10.15675,,"Mar 01, 2016",unknown
7,A. I. Rosu Cultural Scientific Foundation Fundatia cultural-stiintifica A. I. Rosu,10.5775,"Jun 08, 2011","Sep 21, 2015",unknown
8,AACN Publishing,10.4037,"Oct 07, 2008","Feb 18, 2016",unknown
9,AAPG/Datapages,10.1306,"Nov 02, 2002","Mar 02, 2016",unknown
10,AAPG/Datapages,10.15530,"Nov 02, 2002","Oct 13, 2015",unknown
11,AAPG/Datapages,10.1306,"Nov 02, 2002","Mar 02, 2016",unknown
12,AAPG/Datapages,10.15530,"Nov 02, 2002","Oct 13, 2015",unknown
13,Aarhus University Library,10.7146,"Feb 21, 2012","Mar 07, 2016",unknown
14,AB Svensk Papperstidning,10.3183,"Mar 19, 2007","Dec 01, 2015",unknown
15,Abant Izzet Baysal Universitesi Egitim Fakultesi Dergisi,10.17240,,unknown,unknown
16,Abant Izzet Baysal University Graduate School of Social Sciences,10.11616,"Dec 13, 2012","Apr 03, 2014",unknown
17,ABC Journals,10.18034,,"Mar 10, 2016",unknown
18,"ABCD Diabetes Care, LTD.",10.15277,"Mar 19, 2014","Mar 08, 2016",unknown
19,ABEAT - Associacao Brasileira de Especialistas em Alta Tecnologia,10.5769,"Jun 02, 2011","Feb 09, 2016",unknown
20,ABED - Associacao Brasileira de Educacao a Distancia,10.17143,,unknown,unknown
21,Aboriginal Policy Studies,10.5663,"Mar 24, 2011","Jan 13, 2016",unknown
22,ABRACICON: Academia Brasileira de Ciencias Contabeis,10.17524,,"Jun 30, 2015",unknown
23,Academia Koreana,10.18399,,"Dec 16, 2015",unknown
24,Academia Publishing,10.15413,"May 20, 2014",unknown,unknown
